carrier,flight_number,departure_airport,arrival_airport,scheduled_departure,actual_departure
VAV,EL043,JVL,JVL,2016-09-17 22:54:00,2016-09-17 22:54:00
POP,ZK078,GCC,JVL,2016-08-10 22:13:00,2016-08-10 22:13:00
POP,KA604,JVL,AVL,2016-05-30 13:45:00,2016-05-30 14:13:00
WUT,NK749,JVL,WYS,2016-07-08 20:34:00,2016-07-08 20:34:00
VAV,XR073,AVL,JVL,2016-09-29 11:29:00,2016-09-29 11:29:00
WUT,EV947,JVL,JVL,2016-05-20 12:12:00,2016-05-20 12:24:00
ABC,GU871,JVL,CHS,2016-08-24 03:28:00,2016-08-24 04:51:00
GHU,BG731,JVL,JVL,2016-07-16 02:19:00,2016-07-16 02:19:00
WUT,HY878,JVL,CHS,2016-05-17 03:34:00,2016-05-17 03:34:00
VAV,DF720,JVL,JVL,2016-08-19 07:15:00,2016-08-19 07:15:00
WUT,BU797,WRE,CHS,2016-09-26 12:25:00,2016-09-26 12:25:00
DEF,PZ281,JVL,JVL,2016-08-07 20:33:00,2016-08-07 20:33:00
POP,ZD718,FSM,JVL,2016-07-27 17:39:00,2016-07-27 17:39:00
WUT,KG326,JVL,JVL,2016-08-06 03:08:00,2016-08-06 03:08:00
WUT,NV319,CHS,JVL,2016-05-23 13:50:00,2016-05-23 13:50:00
POP,GK146,GCC,JVL,2016-09-06 16:54:00,2016-09-06 16:54:00
VAV,DE109,CHS,JVL,2016-07-09 08:39:00,2016-07-09 08:39:00
WUT,DR023,JVL,CHS,2016-09-16 03:04:00,2016-09-16 03:04:00
WUT,JZ371,WYS,JVL,2016-06-07 18:58:00,2016-06-07 18:58:00
POP,FV553,JVL,JVL,2016-08-14 09:30:00,2016-08-14 09:30:00
VAV,VD652,JVL,JVL,2016-09-29 11:22:00,2016-09-29 11:22:00
WUT,IK928,WRE,JVL,2016-07-21 18:34:00,2016-07-21 18:34:00
POP,QU447,JVL,JVL,2016-08-11 08:12:00,2016-08-11 08:12:00
POP,WH016,JVL,CHS,2016-06-18 23:20:00,2016-06-19 00:47:00
VAV,HD259,CHS,JVL,2016-05-31 00:27:00,2016-05-31 00:27:00
WUT,EW158,JVL,GCC,2016-05-28 05:46:00,2016-05-28 05:46:00
WUT,GJ042,JVL,JVL,2016-08-25 12:23:00,2016-08-25 13:18:00
WUT,KC173,WYS,JVL,2016-06-11 18:26:00,2016-06-11 18:45:00
POP,IQ058,JVL,CHS,2016-07-05 21:14:00,2016-07-05 21:14:00
ABC,PY723,GCC,JVL,2016-06-05 22:07:00,2016-06-05 22:07:00
WUT,UK627,AVL,JVL,2016-05-07 11:49:00,2016-05-07 11:49:00
WUT,QP998,CHS,CHS,2016-06-16 11:31:00,2016-06-16 11:31:00
POP,SC373,JVL,AVL,2016-05-17 08:46:00,2016-05-17 08:46:00
WUT,WK589,JVL,AVL,2016-09-18 10:55:00,2016-09-18 10:55:00
